674017295203741697<||>Tue Dec 08 00:07:00 +0000 2015<||>Nutritious and clean food is offered by Amma Canteens. - https://t.co/JyxCr5FHNw
674018541029318656<||>Tue Dec 08 00:11:57 +0000 2015<||>Sree n Dhanya reached Tvm on 06.12.15 forenoon from the rain ravaged Chennai. What a relief! Peace nestled again on me. Oh Chennai I weep.
674019569460228096<||>Tue Dec 08 00:16:02 +0000 2015<||>@AidOffered i'm from BRZ and i really want to Help Chennai! How can i send money to buy food, water and help then to rebild their houses?
674021054973521920<||>Tue Dec 08 00:21:56 +0000 2015<||>@shamikv Water receded, filth to clear, power water yes, Phone broadband not yet. Pleasantly surprised by friendliness of chennai strangers.
674022980519784448<||>Tue Dec 08 00:29:35 +0000 2015<||>@ChennaiRains . Medical Camp organised @ Basin Bridge, D'Castor Road, Chennai 12.Call 9003162018. Pls circulate. https://t.co/lNbMyWPgSs
674023286330687488<||>Tue Dec 08 00:30:48 +0000 2015<||>@nkkmr Do you still need power banks  in chennai or cuddalore ? We can help but looking for a verified source
674024363859939328<||>Tue Dec 08 00:35:05 +0000 2015<||>#ChennaiVolunteers Medical Camp organised @ Basin Bridge, D'Castor Road, Chennai 12.Call 9003162018. Pls circulate. https://t.co/DIIubaORpa
674027804330213376<||>Tue Dec 08 00:48:46 +0000 2015<||>Donate to Chennai Tamilnadu Flood Relief Fund https://t.co/Wg96WEUCD3
674027964212744192<||>Tue Dec 08 00:49:24 +0000 2015<||>Rahul too coming, relief ops get political colour https://t.co/a0utZd1fmW #ZippedNews https://t.co/L9hbQX84KA
674029108070862849<||>Tue Dec 08 00:53:56 +0000 2015<||>@shravanjp @IBollybubble @RamraoKP_ @iamsrk just shows u never cared if he donated or no for chennai.. U just needed a reason to spread hate
674029736042045440<||>Tue Dec 08 00:56:26 +0000 2015<||>the last thing #chennai needs right now, #politicization of relief efforts. Go away politicos, u r not welcome  https://t.co/EuCcrme5JT
674030605147836416<||>Tue Dec 08 00:59:53 +0000 2015<||>Incredibly proud that family in #chennai has organized a community kitchen and is delivering food by boat to those in need. #ChennaiFloods
674031554159468544<||>Tue Dec 08 01:03:40 +0000 2015<||>Rahul too coming, relief ops get political colour https://t.co/3ar1DXqxkg
674031773504835584<||>Tue Dec 08 01:04:32 +0000 2015<||>@sriharicsb odomos Mosquito coil biscuits milk poweder send to 15 crescent Ave kp puram chennai 28
674032270081064960<||>Tue Dec 08 01:06:30 +0000 2015<||>Never Criticised State Government on Flood Relief or Raised Question on IT Payment, Clarifies Kamal  https://t.co/jHSq8DzKhY
674032556879294468<||>Tue Dec 08 01:07:39 +0000 2015<||>"Muslims of Chennai, India are active in Flood relief" by @aleesimpex on @LinkedIn https://t.co/4X3bJSGwO3
674032786664128513<||>Tue Dec 08 01:08:33 +0000 2015<||>@ravishndtv Please share NDRF TEAMS availability in Chennai. Rescue work almost complete, food dist. Is on. https://t.co/Mr9d43iRnF
674034514885107712<||>Tue Dec 08 01:15:25 +0000 2015<||>Chennai will now rebuild itself brick by brick: Flood-ravaged Chennai's spirits rose with the sun on Monday as flights took off, trai...
674034870306271232<||>Tue Dec 08 01:16:50 +0000 2015<||>#Kerala Concerned Over #Mullaperiyar Dam Water Levels #TamilNadu lifts 7 shutters https://t.co/inJLIP9EuC Mullaperiyar #Chennai
674035682206060544<||>Tue Dec 08 01:20:04 +0000 2015<||>Paralysis Over, Chennai #Airport Bounces Back https://t.co/wgLvbt2Sau
674037412633317376<||>Tue Dec 08 01:26:56 +0000 2015<||>Guys A1- blood required in shenoy nagar Chennai for a dengue patient, very urgent pls help @ThalaAravint @Kokki2You @Disisvki @withkaran
674037919749906432<||>Tue Dec 08 01:28:57 +0000 2015<||>@kmadhu0 @jetairways @EtihadHelp yeah! Please put us on the Jet flight. Really need to be at Chennai asap.
674037923444973568<||>Tue Dec 08 01:28:58 +0000 2015<||>Jayalalithaa orders relief packages No Report of Disease Outbreak in Flood-Ravaged #TamilNadu #ChennaiFloods #Chennai Chennai, Jayalalithaa
674040449259216898<||>Tue Dec 08 01:39:00 +0000 2015<||>@mkstalin @chennairainsmod @Swamy39 Dr Swamy, are you not in Chennai, others doing relief work than RSS, why, their intention is doubtful!?
674040806966239232<||>Tue Dec 08 01:40:26 +0000 2015<||>@satya_world @Qudsiyashivkar he knows this money is going to a lot of people in chennai who are in need of help.
674041053092184065<||>Tue Dec 08 01:41:24 +0000 2015<||>#verified Chennai Apollo Hospital is ready to provide free medicine and delivery. Call 18605000101.
674041916149727233<||>Tue Dec 08 01:44:50 +0000 2015<||>Oscar-winning musician AR Rahman has donated Rs 25 lakhs towards the Chief Minister's relief fund. https://t.co/kzedBuWNWY
674042172593864704<||>Tue Dec 08 01:45:51 +0000 2015<||>Long term plan needed for Chennai as well. Patience, perseverance, resilience. @Actor_Siddharth @dhanyarajendran @latasrinivasan @AbuCric
674042985802301440<||>Tue Dec 08 01:49:05 +0000 2015<||>@RSSorg helping people in Chennai day and night!! Salute to all the volunteers! https://t.co/kzz6k1qIeZ
674043251310006272<||>Tue Dec 08 01:50:08 +0000 2015<||>A Gallery g CSR initiative.  All proceeds of the Sale will first pay artists&amp; then go into the Chennai Relief Fund https://t.co/8F9hxZQjS9
674044297650409473<||>Tue Dec 08 01:54:18 +0000 2015<||>Relief inadequate, says Opposition: DMDK leader Vijayakant has slammed the State government for having failed ... https://t.co/2kYsr7bxwW
674045005888143360<||>Tue Dec 08 01:57:07 +0000 2015<||>Mobile App Offers 24x7 Doctor's Advice for People in Chennai https://t.co/LoB8rzLelq
674045309408907264<||>Tue Dec 08 01:58:19 +0000 2015<||>Flood-affected people gesture to a helicopter for relief materials in Chennai ... - https://t.co/GEjA01KqFH https://t.co/7i7PdxSrRS
674045599268802560<||>Tue Dec 08 01:59:28 +0000 2015<||>@timesnow Even Chennai water on the Street is Little for the ShamelessLeaders!
674046010998460416<||>Tue Dec 08 02:01:06 +0000 2015<||>#savechennaislums Me and my friends are conducting Relief Programs in Chennai. We are doing it on our own without trusting any Organizations
674047193804746753<||>Tue Dec 08 02:05:48 +0000 2015<||>Chennai KK Nagar Medical Camp by Seva Bharathi with 10 doctors https://t.co/JAQ0SOS6Nd
674047912771346432<||>Tue Dec 08 02:08:40 +0000 2015<||>PM of India should follow up with electricity connections and water pumps and not just give the money to the Chennai govt.
674050688943415296<||>Tue Dec 08 02:19:42 +0000 2015<||>#Chennai #Urgent Need 2 A1-ve #blood units @ Billroth Hosp, Shenoy Nagar. Call 9886869666 #BloodAid via @Rajalak71746048 cc @khushsundar
674050721155710977<||>Tue Dec 08 02:19:49 +0000 2015<||>@davidfrawleyved Bible is first shipment to any disaster zone. Hell with stuff like food, medicines, other help etc. Doing in Chennai now
674051149964554240<||>Tue Dec 08 02:21:32 +0000 2015<||>We are coming with relief material can you please route us to the right place in Chennai @RJ_Balaji
674052208808226816<||>Tue Dec 08 02:25:44 +0000 2015<||>Anyone from KK nagar, #chennai?  please reply. #Help #SOS   #chennairain
674052521497747457<||>Tue Dec 08 02:26:59 +0000 2015<||>Home alone with one candle, half-empty water can and half a loaf of bread. https://t.co/NlwMXUaHwh #ChennaiFloods
674053008330768384<||>Tue Dec 08 02:28:55 +0000 2015<||>#ChennaiFloods Ventura Pumps team will dewater homes for free in #Chennai. Contact Navin:9952417860 9087259990... https://t.co/g2FnK590Ny
674053302061957120<||>Tue Dec 08 02:30:05 +0000 2015<||>No change of clothes for many at relief camps https://t.co/DE2XkJLRzL
674053331891781632<||>Tue Dec 08 02:30:12 +0000 2015<||>ETHealthworld | Doctors' network feels Chennai's pulse, reaches out to cut-off areas https://t.co/J6dch3Do6z
674053344512487424<||>Tue Dec 08 02:30:15 +0000 2015<||>@octotus An expert says that 60% of dried up water resources around Chennai hv been converted into Patta lands with the help of officials.
